Group,Sample,pc1,pc2
Astragalus sinicus,Astragalus sinicus1,-0.248198121,2.192709864
Astragalus sinicus,Astragalus sinicus2,-0.012146479,1.740344952
Astragalus sinicus,Astragalus sinicus3,-0.725778273,1.76956642
Astragalus sinicus,Astragalus sinicus4,-0.537613281,1.603316059
Melilotus officinalis,Melilotus officinalis1,-2.845911351,-1.775820945
Melilotus officinalis,Melilotus officinalis2,-2.891328601,-1.328865332
Melilotus officinalis,Melilotus officinalis3,-2.97481828,-1.004872202
Melilotus officinalis,Melilotus officinalis4,-3.345827757,-0.689410386
Vicia villosa,Vicia villosa1,-2.378915944,0.91064026
Vicia villosa,Vicia villosa2,-2.330586243,0.90623881
Vicia villosa,Vicia villosa3,-2.631956929,1.100752978
Vicia villosa,Vicia villosa4,-2.407867486,0.562968514
Pisum sativum,Pisum sativum1,-1.694206623,1.907739952
Pisum sativum,Pisum sativum2,-1.040179911,1.177905837
Pisum sativum,Pisum sativum3,-1.597942194,1.570702504
Pisum sativum,Pisum sativum4,-1.501107787,1.127417841
Trifolium incarnatum,Trifolium incarnatum1,-0.112965494,0.331816235
Trifolium incarnatum,Trifolium incarnatum2,-0.099306279,-0.208017013
Trifolium incarnatum,Trifolium incarnatum3,-0.44382366,0.361780662
Trifolium incarnatum,Trifolium incarnatum4,-0.166782911,0.809389787
Medicago sativa,Medicago sativa1,-1.695072068,-2.081217062
Medicago sativa,Medicago sativa2,-1.731331836,-1.074921603
Medicago sativa,Medicago sativa3,-1.291032856,-1.369730575
Medicago sativa,Medicago sativa4,-2.343220401,-0.795557429
Fagopyrum tataricum,Fagopyrum tataricum1,-0.418391342,-0.197806446
Fagopyrum tataricum,Fagopyrum tataricum2,-0.045571123,-0.513839
Fagopyrum tataricum,Fagopyrum tataricum3,0.346139065,-0.571823089
Fagopyrum tataricum,Fagopyrum tataricum4,0.335484975,-0.385769393
Brassica juncea,Brassica juncea1,3.433647615,-1.841821703
Brassica juncea,Brassica juncea2,3.418689522,-2.699879928
Brassica juncea,Brassica juncea3,4.163658259,-2.835666842
Brassica juncea,Brassica juncea4,3.574010139,-2.42362916
Cichorium intybus,Cichorium intybus1,1.481735438,-3.299394626
Cichorium intybus,Cichorium intybus2,0.380664752,-2.518661866
Cichorium intybus,Cichorium intybus3,0.140828269,-2.42529787
Cichorium intybus,Cichorium intybus4,0.352041949,-3.631669582
Lolium multiflorum,Lolium multiflorum1,1.940589046,2.339589658
Lolium multiflorum,Lolium multiflorum2,3.542175552,2.557855921
Lolium multiflorum,Lolium multiflorum3,3.160598335,2.255053856
Lolium multiflorum,Lolium multiflorum4,3.438679548,2.375086896
Triticum turgidum,Triticum turgidum1,2.165528279,1.506103145
Triticum turgidum,Triticum turgidum2,1.854420725,2.043678025
Triticum turgidum,Triticum turgidum3,1.967761416,1.225857818
Triticum turgidum,Triticum turgidum4,1.815230347,1.297156058
