Trait,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12
LeafCN,0.4069386,0.167223725,0.094325894,-0.170511482,-0.274577711,0.089626004,0.144411773,-0.265477483,0.36118834,-0.494308756,-0.332561955,-0.329106745
RBI,0.393348369,0.003302567,0.213127749,-0.154619281,0.283096585,-0.438029417,0.163326891,-0.403462933,0.046250804,-0.046658633,0.394568227,0.393018937
RootCN,0.371985927,-0.281174427,-0.12616865,-0.025079077,0.147389872,-0.019095179,0.22773811,-0.198824527,-0.599377577,0.27027649,-0.415872434,-0.217446411
RDMC,0.246165901,-0.264069969,0.328246091,0.005811942,0.5200447,0.492091739,-0.253854955,0.257589865,-0.041743946,-0.328493626,-0.004107737,0.093952046
SRL,0.157251626,0.425900789,-0.009745646,-0.425975031,0.159563397,0.232489967,-0.440078763,-0.180092899,0.067322379,0.477105831,0.114887414,-0.247698432
LDMC,0.139609927,0.263532857,0.587045079,0.302496844,-0.438588705,0.089487151,-0.061695422,0.010433756,-0.448379419,0.009654759,0.249340734,-0.085685041
RTD,0.007573706,-0.483841029,0.32403579,0.283551101,0.013938806,0.006863249,0.086703542,-0.138117791,0.465015248,0.40800606,0.135757683,-0.390469437
RD,-0.044863214,-0.442136471,-0.282196644,-0.149925024,-0.382081048,0.392811062,-0.194001006,-0.449301485,-0.124106892,-0.128524226,0.328089369,0.145023693
ExudationC,-0.13535831,0.363941708,-0.219288625,0.440426708,0.35015793,0.391959851,0.392426312,-0.347293825,-0.016020104,-0.072133658,0.195150193,-0.112975025
SLA,-0.288098104,-0.037846059,0.294841399,-0.596846835,-0.025623191,0.250802843,0.607371592,0.132690701,-0.065184843,0.06893334,0.113359429,-0.022195669
RNC,-0.401169886,0.041301685,0.38362676,0.038204231,0.049205532,0.069733863,-0.150981921,-0.476551478,0.035970396,0.082970966,-0.536484274,0.368175996
LNC,-0.414919407,-0.084933758,0.10235077,-0.137319971,0.250208082,-0.346083707,-0.218720925,-0.205045939,-0.251773956,-0.380755199,0.143386431,-0.538619231
